model,athletes,train_mse,test_mse,mape_train,mape_test,total_epochs
handler000.pkl,19023831,0.005241294966681916,0.0008576798718422651,0.12596218571134282,0.08857597410678864,46
handler001.pkl,17639804,0.008346367677828918,0.0017181617440655828,0.1906110684076945,0.14300045371055603,13
handler002.pkl,23729907,0.005317122531708717,0.001895486144348979,0.1445044048252653,0.1438104510307312,114
handler003.pkl,3573750,0.005262166863995726,0.0013551359297707677,0.10076481776069039,0.10467715561389923,37
handler004.pkl,10825360,0.006314630250689452,0.0027457652613520622,0.18204733113879742,0.17938286066055298,199
handler005.pkl,6367873,0.005960005692578116,0.001662026741541922,0.1838373697322348,0.1121622696518898,91
handler006.pkl,20653961,0.005955735405777546,0.002914979588240385,0.19488392575061259,0.17078246176242828,39
handler007.pkl,16378210,0.005942746169464894,0.001627333927899599,0.13707785887166488,0.10636483132839203,44
handler008.pkl,2081128,0.008894398153104164,0.0009687234996818006,0.10388255712610704,0.06155954673886299,23
handler009.pkl,10446972,0.008234694402552012,0.0016137799248099327,0.16364948383786462,0.11021099984645844,74
handler010.pkl,18736169,0.011809605149072453,0.004865200724452734,0.25380408199447574,0.17486190795898438,22
handler011.pkl,22835898,0.005471308363556135,0.0010975048644468188,0.13306181468978162,0.08709188550710678,63
handler012.pkl,5035018,0.005077221378451213,0.0010075662285089493,0.1056636088527739,0.10357929766178131,78
handler013.pkl,6215611,0.0071183000691235065,0.0024063054006546736,0.24994289989654833,0.15515443682670593,82
handler014.pkl,7947798,0.005533087189012969,0.003069748403504491,0.207542601803487,0.21288281679153442,73
handler015.pkl,5688059,0.008351188273199143,0.001661387155763805,0.1536647153477515,0.1384838968515396,46
handler016.pkl,11348733,0.006772176298344958,0.0020011153537780046,0.14014767328726835,0.11567404121160507,34
handler017.pkl,18223349,0.006983437597931874,0.001881368807516992,0.15296565116413177,0.1252707690000534,49
handler018.pkl,5421161,0.008637135308917339,0.0022036912851035595,0.17177851961516752,0.10122945159673691,28
handler019.pkl,5151970,0.00956214983996592,0.0021179525647312403,0.1265131337077994,0.09813406318426132,40
handler020.pkl,3460571,0.011631750232098918,0.0033168357331305742,0.2770359476930217,0.16436004638671875,48
handler021.pkl,19741163,0.010460753713480452,0.0013037254102528095,0.12120958237033902,0.09161745756864548,60
handler022.pkl,5861500,0.0074019352640202155,0.0053533571772277355,0.160657664454436,0.12963612377643585,259
handler023.pkl,12021072,0.012542628624942154,0.0017155840760096908,0.14227080589625984,0.10061751306056976,23
handler024.pkl,25191153,0.007902308814943982,0.001119255437515676,0.15214625738847715,0.10064291954040527,115
handler025.pkl,15515123,0.007779448325264043,0.0013045008527114987,0.167520004099813,0.1030946597456932,102
handler026.pkl,11088529,0.008630350188468583,0.002079386031255126,0.13638002309016883,0.10909775644540787,131
handler027.pkl,11284478,0.006699069079736041,0.0014397725462913513,0.12425196833080715,0.11722124367952347,89
handler028.pkl,3539760,0.009007831018131513,0.002613701857626438,0.3364300615512408,0.1824590265750885,136
handler029.pkl,22843389,0.007098566181957722,0.0014638249995186925,0.13109578830855234,0.11619824916124344,134
handler030.pkl,14588097,0.006252363484738202,0.0018942035967484117,0.1322242697251254,0.09751575440168381,105
handler031.pkl,20136629,0.007111481644890525,0.002358823549002409,0.11791297116062859,0.1391761302947998,126
handler032.pkl,2913078,0.040798072220690276,0.011899174191057682,1.3775092033018548,0.2677421271800995,3
handler033.pkl,16021442,0.006895965721923858,0.001581970020197332,0.0946965217590332,0.0772646814584732,159
handler034.pkl,22891135,0.007244762582039195,0.005040352698415518,0.12089937532852803,0.16734224557876587,105
handler035.pkl,34669133,0.006871334676231656,0.005408793222159147,0.12074004858732224,0.10238765925168991,110
handler036.pkl,1776170,0.0073275734204798935,0.0012966397916898131,0.1398605577647686,0.09916350245475769,118
handler037.pkl,26367918,0.006911277790398647,0.0018205178203061223,0.18276397604495287,0.14716699719429016,212
handler038.pkl,21299972,0.009786807186901569,0.011086753569543362,0.10536729345719019,0.13464480638504028,214
handler039.pkl,12701438,0.0478114178404212,0.003372565843164921,0.6890300462643305,0.17361882328987122,17
handler040.pkl,14019837,0.00642363287624903,0.0008225824567489326,0.12814878253266215,0.10219240933656693,172
handler041.pkl,12740383,0.006748015945777297,0.003540248144418001,0.1431764628738165,0.15123531222343445,149
handler042.pkl,34460713,0.008748031883059363,0.026057172566652298,0.14870482663574972,0.12425069510936737,149
handler043.pkl,18042525,0.009666570081290874,0.0011002288665622473,0.13415952230041678,0.04860025271773338,55
handler044.pkl,22353493,0.012766623647794836,0.003114057471975684,0.1532220667494195,0.13447479903697968,23
handler045.pkl,12642956,0.014679263980889862,0.0036965166218578815,0.20051775059916757,0.1652093380689621,20
