model,athletes,train_mse,test_mse,mape_train,mape_test,total_epochs
handler001.pkl,19023831,0.0013638799646287225,0.0014607540797442198,0.1084322789683938,0.1241108700633049,128
handler002.pkl,23729907,0.002053441917437508,0.0016434034332633018,0.15390712409107773,0.14005489647388458,153
handler003.pkl,3573750,0.0018366462430164504,0.0021073699463158846,0.11888091781964669,0.12942364811897278,171
handler004.pkl,10825360,0.0024978984938934445,0.0027291232254356146,0.17887675046920776,0.1938948780298233,124
handler005.pkl,6367873,0.002368899832945317,0.0016852297121658921,0.14342028588056566,0.12558628618717194,140
handler006.pkl,20653961,0.002186239459146948,0.0026088636368513107,0.1593100694210633,0.1766129583120346,156
handler007.pkl,16378210,0.002544774155301804,0.0021468065679073334,0.14573650299148125,0.13237117230892181,183
handler008.pkl,2081128,0.0018499174620956182,0.002260342240333557,0.08851843433720726,0.08414202183485031,177
handler009.pkl,10446972,0.0025948082678951324,0.0026772962883114815,0.15947087071835994,0.14815732836723328,203
handler010.pkl,18736169,0.0038843904162364964,0.0037535112351179123,0.16824593120499662,0.18853257596492767,181
handler011.pkl,22835898,0.0021805001153169493,0.001979708904400468,0.1265233825696142,0.13033290207386017,215
handler012.pkl,5035018,0.0015894397909409907,0.001414150814525783,0.13245236795199544,0.12153497338294983,232
handler013.pkl,6215611,0.003299563735102614,0.0027843639254570007,0.18321597534749243,0.1867438703775406,187
handler014.pkl,7947798,0.002759648932089262,0.0016429672250524163,0.17455631319214315,0.15147845447063446,163
handler015.pkl,5688059,0.0022425063789876945,0.0014899256639182568,0.13999835664735122,0.12366852164268494,171
handler016.pkl,11348733,0.0028068702976109788,0.0021869249176234007,0.13332388637696996,0.1277577131986618,232
handler017.pkl,18223349,0.002175743386888986,0.003075682558119297,0.1287777476450976,0.15616394579410553,221
handler018.pkl,5421161,0.002778739493805915,0.0023015120532363653,0.11995045002549887,0.11653488874435425,202
handler019.pkl,5151970,0.0026364555737624566,0.001907475059852004,0.11087583800156911,0.0997970774769783,206
handler020.pkl,3460571,0.004122382660474007,0.004399479832500219,0.17705396562814713,0.19737432897090912,230
handler021.pkl,19741163,0.0029975370104823795,0.0017220788868144155,0.11224198341369629,0.10770483314990997,256
handler022.pkl,5861500,0.004051165247801691,0.0040964954532682896,0.12438635634524482,0.13444627821445465,219
handler023.pkl,12021072,0.003231247940745491,0.0030119395814836025,0.15721236226650384,0.16553166508674622,256
handler024.pkl,25191153,0.0020121461846149312,0.0014672029064968228,0.13245074049784586,0.11707161366939545,256
handler025.pkl,15515123,0.002215790553376652,0.0030231333803385496,0.14706269880900016,0.1482727974653244,256
handler026.pkl,11088529,0.003214003974183773,0.0027953435201197863,0.14635537937283516,0.15667666494846344,256
handler027.pkl,11284478,0.0022316846977143237,0.002790783764794469,0.13718878850340843,0.16058412194252014,256
handler028.pkl,3539760,0.00515335224433026,0.0013355253031477332,0.23076853280266127,0.134842187166214,256
handler029.pkl,22843389,0.002558278015137396,0.00266789342276752,0.149236146021973,0.16046319901943207,256
handler030.pkl,14588097,0.0032231892480260945,0.0038645565509796143,0.14773150736635382,0.1422685980796814,256
handler031.pkl,20136629,0.002247092239982025,0.003201819257810712,0.14144917509772562,0.1734810173511505,256
handler032.pkl,2913078,0.012990019834515724,0.008476420305669308,0.5624595447020098,0.2633547782897949,256
handler033.pkl,16021442,0.004224131920967589,0.0030468078330159187,0.12287103249268098,0.11048401892185211,256
handler034.pkl,22891135,0.0020741333878091114,0.005703540053218603,0.1271347159689123,0.19687001407146454,256
handler035.pkl,34669133,0.003389471734408289,0.007133388891816139,0.1159343272447586,0.13625602424144745,256
handler036.pkl,1776170,0.002702962560579181,0.0020131480414420366,0.15308548733592034,0.15107949078083038,256
handler037.pkl,26367918,0.0028076833463273943,0.0032748908270150423,0.19406381547451018,0.18125058710575104,256
handler038.pkl,21299972,0.008688434544536803,0.014241144061088562,0.15409478462404674,0.16838127374649048,256
handler039.pkl,12701438,0.0042336756078940295,0.00410268921405077,0.2246890680657493,0.17066089808940887,256
handler040.pkl,14019837,0.0023445474604765573,0.002505693817511201,0.17232025331921047,0.18105795979499817,256
handler041.pkl,12740383,0.004188254786034425,0.002999307122081518,0.209897647301356,0.17034967243671417,256
handler042.pkl,34460713,0.0035438117661720347,0.028291262686252594,0.10926450375053617,0.14009959995746613,256
handler043.pkl,18042525,0.00290023867920455,0.0015552565455436707,0.08408432205518086,0.06657038629055023,256
handler044.pkl,22353493,0.00401318634653257,0.0026775989681482315,0.1286022729343838,0.099352166056633,256
handler045.pkl,12642956,0.0032802013576858574,0.0033619904424995184,0.17056463907162348,0.1877242475748062,256
