model,athletes,train_mse,test_mse,mape_train,mape_test,total_epochs
handler001.pkl,19023831,0.0013638799646287225,0.0014607540797442198,0.1084322789683938,0.1241108700633049,128
handler002.pkl,23729907,0.002053441917437508,0.0016434034332633018,0.15390712409107773,0.14005489647388458,153
handler003.pkl,3573750,0.0018366462430164504,0.0021073699463158846,0.11888091781964669,0.12942364811897278,171
handler004.pkl,10825360,0.0024978984938934445,0.0027291232254356146,0.17887675046920776,0.1938948780298233,124
handler005.pkl,6367873,0.002368899832945317,0.0016852297121658921,0.14342028588056566,0.12558628618717194,140
handler006.pkl,20653961,0.002186239459146948,0.0026088636368513107,0.1593100694210633,0.1766129583120346,156
handler007.pkl,16378210,0.002544774155301804,0.0021468065679073334,0.14573650299148125,0.13237117230892181,183
handler008.pkl,2081128,0.0018499174620956182,0.002260342240333557,0.08851843433720726,0.08414202183485031,177
handler009.pkl,10446972,0.0025948082678951324,0.0026772962883114815,0.15947087071835994,0.14815732836723328,203
handler010.pkl,18736169,0.00391532858147433,0.003753868630155921,0.16888527101592013,0.18778491020202637,182
handler011.pkl,22835898,0.0021805001153169493,0.001979708904400468,0.1265233825696142,0.13033290207386017,215
handler012.pkl,5035018,0.0016587283370379162,0.0014210313092917204,0.1364530038676764,0.12050186097621918,234
handler013.pkl,6215611,0.003331081683023108,0.0027695351745933294,0.18664332355062166,0.18358410894870758,188
handler014.pkl,7947798,0.002759648932089262,0.0016429672250524163,0.17455631319214315,0.15147845447063446,163
handler015.pkl,5688059,0.0022425063789876945,0.0014899256639182568,0.13999835664735122,0.12366852164268494,171
handler016.pkl,11348733,0.0028068702976109788,0.0021869249176234007,0.13332388637696996,0.1277577131986618,232
handler017.pkl,18223349,0.0022346209563479267,0.003074274631217122,0.1313920358524603,0.156020388007164,222
handler018.pkl,5421161,0.002778739493805915,0.0023015120532363653,0.11995045002549887,0.11653488874435425,202
handler019.pkl,5151970,0.0026364555737624566,0.001907475059852004,0.11087583800156911,0.0997970774769783,206
handler020.pkl,3460571,0.004122382660474007,0.004399479832500219,0.17705396562814713,0.19737432897090912,230
handler021.pkl,19741163,0.0032340275273392244,0.0016579063376411796,0.11667533910700253,0.10585583001375198,258
handler022.pkl,5861500,0.004166785793911133,0.0042062909342348576,0.12826430212174142,0.13368020951747894,221
handler023.pkl,12021072,0.0033075667183416393,0.0030340985395014286,0.16158251120493963,0.1650114506483078,258
handler024.pkl,25191153,0.0020121461846149312,0.0014672029064968228,0.13245074049784586,0.11707161366939545,256
handler025.pkl,15515123,0.002215790553376652,0.0030231333803385496,0.14706269880900016,0.1482727974653244,256
handler026.pkl,11088529,0.0031269488487547883,0.002735272515565157,0.1444828286767006,0.1549464762210846,260
handler027.pkl,11284478,0.0022258797253016382,0.0026624093297868967,0.1382913738489151,0.15990307927131653,512
handler028.pkl,3539760,0.005146579331873606,0.0013112893793731928,0.2312107359369596,0.13141599297523499,258
handler029.pkl,22843389,0.002405613703145222,0.002362922066822648,0.14158714698119598,0.15376465022563934,303
handler030.pkl,14588097,0.0031970909860154443,0.003905609017238021,0.15152863345362924,0.1386449933052063,257
handler031.pkl,20136629,0.002184956715526906,0.003239993704482913,0.1401457292112437,0.17303459346294403,285
handler032.pkl,2913078,0.012425076766786251,0.007920673117041588,0.5614922087300908,0.2551012933254242,340
handler033.pkl,16021442,0.0038847906663167205,0.0027182255871593952,0.11761057918721979,0.10726989060640335,326
handler034.pkl,22891135,0.002164716028015722,0.005484241060912609,0.1289196556264704,0.19167715311050415,313
handler035.pkl,34669133,0.003464499395340681,0.007345861289650202,0.11681803613901139,0.13436363637447357,257
handler036.pkl,1776170,0.00259016293566674,0.0018387926975265145,0.1482832357287407,0.14553377032279968,334
handler037.pkl,26367918,0.002548419957747683,0.0022203163243830204,0.1791038066148758,0.1536765694618225,512
handler038.pkl,21299972,0.0063393877870920635,0.010856096632778645,0.125551614496443,0.13662518560886383,497
handler039.pkl,12701438,0.0035455982821683087,0.003035514149814844,0.1966596038805114,0.16041265428066254,328
handler040.pkl,14019837,0.001988123164563957,0.0019175191409885883,0.15976187752352822,0.15730701386928558,352
handler041.pkl,12740383,0.003777331206947565,0.002349542686715722,0.19941353135638767,0.15683197975158691,512
handler042.pkl,34460713,0.003261076428720521,0.02657346799969673,0.10756683929098977,0.136982724070549,512
handler043.pkl,18042525,0.0025447898854811988,0.0013751385267823935,0.08201040120588408,0.061260826885700226,512
handler044.pkl,22353493,0.004050724932716953,0.0026743572670966387,0.12653812848859364,0.09767525643110275,258
handler045.pkl,12642956,0.0025281653894732394,0.002559650456532836,0.14874877035617828,0.1656099408864975,385
