model,athletes,train_mse,test_mse,mape_train,mape_test,total_epochs
handler001.pkl,19023831,0.004436410048843494,0.0018315911293029785,0.1182486710271665,0.1396154761314392,510
handler002.pkl,23729907,0.005433324758929235,0.0017824413953348994,0.17012929088539547,0.14925536513328552,512
handler003.pkl,3573750,0.010414310480253054,0.0027133608236908913,0.13501254268563712,0.1506766974925995,72
handler004.pkl,10825360,0.005980454068630934,0.003377380548045039,0.19321320354938507,0.2149832546710968,512
handler005.pkl,6367873,0.006129178665578366,0.00199777795933187,0.16060146391391755,0.1386357992887497,200
handler006.pkl,20653961,0.005750604034603938,0.0032177530229091644,0.1816833407982536,0.20047564804553986,511
handler007.pkl,16378210,0.006728666728701104,0.0025574066676199436,0.16293514756993813,0.14792966842651367,250
handler008.pkl,2081128,0.014402340964547225,0.0028440484311431646,0.10142557482634272,0.09240174293518066,33
handler009.pkl,10446972,0.014671139977872371,0.0040042223408818245,0.19191418960690498,0.181387260556221,41
handler010.pkl,18736169,0.01109072191052531,0.004752300214022398,0.1914209982282237,0.22451116144657135,100
handler011.pkl,22835898,0.006169562179007028,0.002281192224472761,0.1379763135000279,0.14015339314937592,312
handler012.pkl,5035018,0.004803619323004233,0.0014770672423765063,0.1414654329419136,0.12545974552631378,512
handler013.pkl,6215611,0.0069190803656561505,0.0034786472097039223,0.20610749597350755,0.2140880525112152,512
handler014.pkl,7947798,0.006305031177094754,0.002297966042533517,0.20495796817190506,0.1854892075061798,511
handler015.pkl,5688059,0.009712145061177365,0.002154398476704955,0.16809528014239142,0.14718085527420044,113
handler016.pkl,11348733,0.00668095175505561,0.002845162060111761,0.14659681828582988,0.14197924733161926,324
handler017.pkl,18223349,0.005646526539588676,0.0036617829464375973,0.14621222764253616,0.17525465786457062,512
handler018.pkl,5421161,0.011244534573052078,0.0030276624020189047,0.15049117291346192,0.14770227670669556,104
handler019.pkl,5151970,0.010680323652923106,0.002548510441556573,0.12275958905617396,0.11199991405010223,115
handler020.pkl,3460571,0.008159594004973769,0.0056241643615067005,0.21870021671056747,0.23508189618587494,512
handler021.pkl,19741163,0.007061516333903585,0.0018783614505082369,0.1176256856748036,0.11251302808523178,481
handler022.pkl,5861500,0.008287199706371342,0.004541297908872366,0.13981119596532413,0.15411028265953064,432
handler023.pkl,12021072,0.011528156554469695,0.003564840881153941,0.171850911126687,0.18137970566749573,121
handler024.pkl,25191153,0.006246261728497652,0.0016616226639598608,0.14607858313963965,0.12693120539188385,485
handler025.pkl,15515123,0.013156083842309622,0.004316337406635284,0.1937570869922638,0.20578768849372864,81
handler026.pkl,11088529,0.013299603558455905,0.0032275395933538675,0.15670016407966614,0.17041929066181183,100
handler027.pkl,11284478,0.009513500146567822,0.0032234592363238335,0.15044283804794154,0.17101041972637177,154
handler028.pkl,3539760,0.00885963145022591,0.0016462096245959401,0.25944079148272675,0.14611031115055084,512
handler029.pkl,22843389,0.014817505820908329,0.0027514153625816107,0.1499121446501125,0.1665193736553192,77
handler030.pkl,14588097,0.006936693437058817,0.004248896613717079,0.15837990966710178,0.15529188513755798,509
handler031.pkl,20136629,0.015682422301986,0.0037942067719995975,0.1548374959013679,0.18408803641796112,64
handler032.pkl,2913078,0.027586004612120716,0.008182029239833355,0.6010234003717249,0.24933575093746185,28
handler033.pkl,16021442,0.009385204958644781,0.003802333725616336,0.14153019812974063,0.1281571388244629,327
handler034.pkl,22891135,0.006221102973954244,0.005369523074477911,0.1378155384551395,0.18782438337802887,477
handler035.pkl,34669133,0.011297863442450762,0.008026492781937122,0.13245968148112297,0.15199890732765198,167
handler036.pkl,1776170,0.01093665575608611,0.0022415523417294025,0.17275341600179672,0.16308511793613434,175
handler037.pkl,26367918,0.011020792927592993,0.0024689193814992905,0.20106970518827438,0.16103282570838928,197
handler038.pkl,21299972,0.013365602017276816,0.01273462362587452,0.13883527119954428,0.15492302179336548,249
handler039.pkl,12701438,0.01261849608272314,0.003091792343184352,0.21694586508803898,0.1657043844461441,185
handler040.pkl,14019837,0.009455059965451559,0.002463169861584902,0.17439431531561744,0.1812826246023178,217
handler041.pkl,12740383,0.011945842661791377,0.0027628708630800247,0.21868139836523268,0.17019768059253693,188
handler042.pkl,34460713,0.007408219493097729,0.027246437966823578,0.11177543840474552,0.1337355226278305,512
handler043.pkl,18042525,0.009903758557306396,0.0016861746553331614,0.09095225772923893,0.06874426454305649,221
handler044.pkl,22353493,0.012616599289079508,0.002991220448166132,0.1418699613875813,0.12128248810768127,206
handler045.pkl,12642956,0.007783912639651034,0.002746651880443096,0.16383774909708235,0.17398333549499512,447
